arxiv_id_clean,cohort_day,cohort_size,Z1_logcompet,Z2_count,Z3_blockbuster,Z1p_othersub,ego_upvotes
2503.10997,2025-03-27,27,6.413458957167357,26,0,6.234410725718371,1
2503.15893,2025-03-27,27,6.411818267709897,26,0,6.406879986069314,2
2503.16870,2025-03-27,27,6.403574197934815,26,0,6.3835066348840055,7
2503.17358,2025-03-27,27,6.405228458030842,26,0,6.400257445308821,6
2503.17970,2025-03-27,27,6.410174881966167,26,0,6.406879986069314,3
2503.18929,2025-03-27,27,6.408528791059498,26,0,6.373319789577012,4
2503.19462,2025-03-27,27,6.398594934535208,26,0,6.333279628139691,10
2503.19480,2025-03-27,27,6.38856140554563,26,0,6.234410725718371,16
2503.19757,2025-03-27,27,6.327936783729195,26,0,6.327936783729195,51
2503.19786,2025-03-27,27,6.315358001522335,26,0,5.940171252720432,58
2503.19846,2025-03-27,27,6.403574197934815,26,0,6.403574197934815,7
2503.19950,2025-03-27,27,6.395261598115449,26,0,6.3835066348840055,12
2503.19953,2025-03-27,27,6.410174881966167,26,0,6.410174881966167,3
2503.19990,2025-03-27,27,6.3561076606958915,26,0,6.234410725718371,35
2503.20020,2025-03-27,27,6.363028103540465,26,0,6.234410725718371,31
2503.20198,2025-03-27,27,6.408528791059498,26,0,6.234410725718371,4
2503.20201,2025-03-27,27,6.333279628139691,26,0,6.333279628139691,48
2503.20215,2025-03-27,27,6.082218910376446,26,0,5.940171252720432,173
2503.20220,2025-03-27,27,6.410174881966167,26,0,6.400257445308821,3
2503.20240,2025-03-27,27,6.3784261836515865,26,0,6.333279628139691,22
2503.20271,2025-03-27,27,6.403574197934815,26,0,6.234410725718371,7
2503.20314,2025-03-27,27,6.306275286948016,26,0,6.306275286948016,63
2503.20641,2025-03-27,27,6.398594934535208,26,0,6.373319789577012,10
2503.20672,2025-03-27,27,6.391917113392602,26,0,6.333279628139691,14
2503.20731,2025-03-27,27,6.411818267709897,26,0,6.333279628139691,2
2503.20756,2025-03-27,27,6.403574197934815,26,0,6.234410725718371,7
2503.20757,2025-03-27,27,6.396929655216146,26,0,6.373319789577012,11
2503.19904,2025-03-28,22,6.304448802421981,21,0,6.2878585601617845,2
2503.20578,2025-03-28,22,6.297109319933935,21,0,6.251903883165888,6
2503.20776,2025-03-28,22,6.289715570908998,21,0,6.2422232654551655,10
2503.20822,2025-03-28,22,6.278521424165844,21,0,6.251903883165888,16
2503.20853,2025-03-28,22,6.29156913955832,21,0,5.988961416889864,9
2503.20990,2025-03-28,22,6.272877006546167,21,0,6.272877006546167,19
2503.21088,2025-03-28,22,6.293419278846481,21,0,6.251903883165888,8
2503.21144,2025-03-28,22,6.257667587882639,21,0,6.089044875446846,27
2503.21248,2025-03-28,22,6.269096283706261,21,0,6.22455842927536,21
2503.21380,2025-03-28,22,6.236369590203704,21,0,6.236369590203704,38
2503.21460,2025-03-28,22,6.142037405587356,21,0,6.142037405587356,84
2503.21541,2025-03-28,22,6.306275286948016,21,0,6.2422232654551655,1
2503.21620,2025-03-28,22,6.18826412308259,21,0,5.988961416889864,62
2503.21696,2025-03-28,22,6.26530121273771,21,0,6.22455842927536,23
2503.21729,2025-03-28,22,6.253828811575473,21,0,6.253828811575473,29
2503.21749,2025-03-28,22,6.259581464064923,21,0,6.089044875446846,26
2503.21755,2025-03-28,22,6.246106765481563,21,0,6.089044875446846,33
2503.21758,2025-03-28,22,6.267200548541362,21,0,6.089044875446846,22
2503.21765,2025-03-28,22,6.2878585601617845,21,0,6.2422232654551655,11
2503.21774,2025-03-28,22,6.284134161070802,21,0,6.2422232654551655,13
2503.21776,2025-03-28,22,6.152732694704104,21,0,5.988961416889864,79
2503.21780,2025-03-28,22,6.29156913955832,21,0,6.2878585601617845,9
2503.16081,2025-03-31,23,6.124683390894205,22,0,6.124683390894205,29
2503.17827,2025-03-31,23,6.169610732491456,22,0,6.152732694704104,8
2503.18968,2025-03-31,23,6.169610732491456,22,0,6.169610732491456,8
2503.19108,2025-03-31,23,6.133398042996649,22,0,5.932245187448011,25
2503.19693,2025-03-31,23,6.016157159698354,22,0,5.905361848054571,76
2503.20308,2025-03-31,23,6.137727054086234,22,0,6.137727054086234,23
2503.20785,2025-03-31,23,6.139884552226255,22,0,5.932245187448011,22
2503.21332,2025-03-31,23,6.137727054086234,22,0,6.028278520230698,23
2503.21544,2025-03-31,23,6.180016653652572,22,0,6.028278520230698,3
2503.21614,2025-03-31,23,6.093569770045136,22,0,5.905361848054571,43
2503.21732,2025-03-31,23,6.1675164908883415,22,0,6.1675164908883415,9
2503.21751,2025-03-31,23,6.163314804034641,22,0,6.163314804034641,11
2503.21779,2025-03-31,23,6.1779441140506,22,0,6.154858094016418,4
2503.21821,2025-03-31,23,6.142037405587356,22,0,6.142037405587356,21
2503.21851,2025-03-31,23,6.169610732491456,22,0,6.152732694704104,8
2503.22194,2025-03-31,23,6.133398042996649,22,0,5.932245187448011,25
2503.22230,2025-03-31,23,6.089044875446846,22,0,6.028278520230698,45
