arxiv_id_clean,cohort_day,day_total,day_count,own_kw_cell_sum,Z1p_kw,Zc_kw,Zown_loo_kw,kw_cell_size,kw_singleton
2408.07888,2024-08-19,249,7,13,5.4680601411351315,1.9459101490553132,0.0,1,1
2408.07931,2024-08-19,249,7,67,5.209486152841421,1.791759469228055,3.828641396489095,2,0
2408.08332,2024-08-19,249,7,20,5.438079308923196,1.9459101490553132,0.0,1,1
2408.08435,2024-08-19,249,7,40,5.3471075307174685,1.9459101490553132,0.0,1,1
2408.08441,2024-08-19,249,7,8,5.488937726156687,1.9459101490553132,0.0,1,1
2408.08459,2024-08-19,249,7,67,5.209486152841421,1.791759469228055,3.1354942159291497,2,0
2408.08872,2024-08-19,249,7,101,5.003946305945459,1.9459101490553132,0.0,1,1
2408.08926,2024-08-20,209,11,6,5.318119993844216,2.3978952727983707,0.0,1,1
2408.08946,2024-08-20,209,11,12,5.288267030694535,2.3978952727983707,0.0,1,1
2408.09085,2024-08-20,209,11,22,5.236441962829949,2.3978952727983707,0.0,1,1
2408.09702,2024-08-20,209,11,85,4.8283137373023015,1.9459101490553132,4.31748811353631,5,0
2408.09739,2024-08-20,209,11,85,4.8283137373023015,1.9459101490553132,4.343805421853684,5,0
2408.09858,2024-08-20,209,11,17,5.262690188904886,2.3978952727983707,0.0,1,1
2408.10119,2024-08-20,209,11,85,4.8283137373023015,1.9459101490553132,4.23410650459726,5,0
2408.10161,2024-08-20,209,11,15,5.272999558563747,2.3978952727983707,0.0,1,1
2408.10188,2024-08-20,209,11,52,5.062595033026967,2.3978952727983707,0.0,1,1
2408.10195,2024-08-20,209,11,85,4.8283137373023015,1.9459101490553132,4.290459441148391,5,0
2408.10198,2024-08-20,209,11,85,4.8283137373023015,1.9459101490553132,3.9318256327243257,5,0
2408.09174,2024-08-21,265,15,61,5.3230099791384085,2.6390573296152584,2.1972245773362196,2,0
2408.09574,2024-08-21,265,15,61,5.3230099791384085,2.6390573296152584,3.9889840465642745,2,0
2408.10088,2024-08-21,265,15,2,5.575949103146316,2.70805020110221,0.0,1,1
2408.10446,2024-08-21,265,15,88,5.181783550292085,2.4849066497880004,4.382026634673881,4,0
2408.10487,2024-08-21,265,15,21,5.501258210544727,2.6390573296152584,2.70805020110221,2,0
2408.10701,2024-08-21,265,15,61,5.3230099791384085,2.5649493574615367,3.912023005428146,3,0
2408.10764,2024-08-21,265,15,23,5.493061443340548,2.6390573296152584,2.70805020110221,2,0
2408.10906,2024-08-21,265,15,88,5.181783550292085,2.4849066497880004,4.454347296253507,4,0
2408.10914,2024-08-21,265,15,61,5.3230099791384085,2.5649493574615367,2.833213344056216,3,0
2408.10998,2024-08-21,265,15,9,5.54907608489522,2.70805020110221,0.0,1,1
2408.11001,2024-08-21,265,15,88,5.181783550292085,2.4849066497880004,4.330733340286331,4,0
2408.11039,2024-08-21,265,15,88,5.181783550292085,2.4849066497880004,3.258096538021482,4,0
2408.11048,2024-08-21,265,15,61,5.3230099791384085,2.5649493574615367,4.060443010546419,3,0
2408.11049,2024-08-21,265,15,23,5.493061443340548,2.6390573296152584,2.302585092994046,2,0
2408.11054,2024-08-21,265,15,21,5.501258210544727,2.6390573296152584,2.0794415416798357,2,0
2408.08793,2024-08-22,211,12,7,5.3230099791384085,2.4849066497880004,0.0,1,1
2408.11237,2024-08-22,211,12,11,5.303304908059076,2.3978952727983707,1.791759469228055,2,0
2408.11247,2024-08-22,211,12,11,5.303304908059076,2.3978952727983707,1.9459101490553132,2,0
2408.11318,2024-08-22,211,12,61,5.017279836814924,2.3978952727983707,1.6094379124341003,2,0
2408.11457,2024-08-22,211,12,61,5.017279836814924,2.3978952727983707,4.060443010546419,2,0
2408.11475,2024-08-22,211,12,31,5.198497031265826,2.302585092994046,2.6390573296152584,3,0
2408.11706,2024-08-22,211,12,31,5.198497031265826,2.302585092994046,3.2188758248682006,3,0
2408.11721,2024-08-22,211,12,31,5.198497031265826,2.302585092994046,3.258096538021482,3,0
2408.11745,2024-08-22,211,12,25,5.231108616854587,2.4849066497880004,0.0,1,1
2408.11796,2024-08-22,211,12,61,5.017279836814924,2.4849066497880004,0.0,1,1
