arxiv_id_clean,title,published_v1,n_authors,primary_category,all_categories,abstract_n_chars,strat_month,strat_cat
2306.00503,MEWL: Few-shot multimodal word learning with referential uncertainty,2023-06-01T09:54:31Z,7,cs.CL,cs.CL; cs.AI; cs.CV; cs.LG,1301,2023-06,cs.CL
2306.00526,Layout and Task Aware Instruction Prompt for Zero-shot Document Image Question Answering,2023-06-01T10:28:12Z,4,cs.CL,cs.CL; cs.AI; cs.CV,1881,2023-06,cs.CL
2306.00535,The Effects of Input Type and Pronunciation Dictionary Usage in Transfer Learning for Low-Resource Text-to-Speech,2023-06-01T10:42:56Z,4,cs.CL,cs.CL; eess.AS,909,2023-06,cs.CL
2306.00539,A Call for Standardization and Validation of Text Style Transfer Evaluation,2023-06-01T10:46:08Z,4,cs.LG,cs.LG; cs.CL,703,2023-06,cs.CL
2306.00550,Chain-Of-Thought Prompting Under Streaming Batch: A Case Study,2023-06-01T11:11:39Z,1,cs.LG,cs.LG; cs.AI; cs.CL,643,2023-06,cs.CL
2306.00551,Enhancing Programming eTextbooks with ChatGPT Generated Counterfactual-Thinking-Inspired Questions,2023-06-01T11:14:15Z,3,cs.CL,cs.CL; cs.HC,904,2023-06,cs.CL
2306.03773,Some voices are too common: Building fair speech recognition systems using the Common Voice dataset,2023-06-01T11:42:34Z,2,eess.AS,eess.AS; cs.CL; cs.LG; cs.SD,711,2023-06,cs.CL
2306.00618,Effective Structured Prompting by Meta-Learning and Representative Verbalizer,2023-06-01T12:44:33Z,3,cs.CL,cs.CL; cs.AI; cs.LG,1341,2023-06,cs.CL
2306.00639,Being Right for Whose Right Reasons?,2023-06-01T13:06:43Z,3,cs.CL,cs.CL; cs.HC,1213,2023-06,cs.CL
2306.00645,Contextual Distortion Reveals Constituency: Masked Language Models are Implicit Parsers,2023-06-01T13:10:48Z,2,cs.CL,cs.CL,1297,2023-06,cs.CL
2306.00652,Explanation Graph Generation via Generative Pre-training over Synthetic Graphs,2023-06-01T13:20:22Z,4,cs.CL,cs.CL; cs.AI,1446,2023-06,cs.CL
2306.00660,Improving Polish to English Neural Machine Translation with Transfer Learning: Effects of Data Volume and Language Similarity,2023-06-01T13:34:21Z,5,cs.CL,cs.CL,1082,2023-06,cs.CL
2306.00665,Automatic Glossary of Clinical Terminology: a Large-Scale Dictionary of Biomedical Definitions Generated from Ontological Knowledge,2023-06-01T13:37:55Z,2,cs.CL,cs.CL,1913,2023-06,cs.CL
2306.00667,Predicting the Quality of Revisions in Argumentative Writing,2023-06-01T13:39:33Z,5,cs.CL,cs.CL; cs.AI,710,2023-06,cs.CL
2306.00672,Towards Argument-Aware Abstractive Summarization of Long Legal Opinions with Summary Reranking,2023-06-01T13:44:45Z,3,cs.CL,cs.CL,646,2023-06,cs.CL
2306.00697,How Generative Spoken Language Modeling Encodes Noisy Speech: Investigation from Phonetics to Syntactics,2023-06-01T14:07:19Z,6,cs.CL,cs.CL; cs.AI; eess.AS,692,2023-06,cs.CL
2306.00262,Maximizing Information in Domain-Invariant Representation Improves Transfer Learning,2023-06-01T00:46:40Z,6,cs.CV,cs.CV; cs.LG,1161,2023-06,cs.CV
2306.00265,Doubly Robust Self-Training,2023-06-01T00:57:16Z,7,cs.LG,cs.LG; cs.AI; cs.CV; eess.IV; stat.ML,1000,2023-06,cs.CV
2306.00272,Accelerated Fingerprint Enhancement: A GPU-Optimized Mixed Architecture Approach,2023-06-01T01:19:32Z,2,cs.CV,cs.CV,1392,2023-06,cs.CV
2306.00283,Autism Disease Detection Using Transfer Learning Techniques: Performance Comparison Between Central Processing Unit vs Graphics Processing Unit Functions for Neural Networks,2023-06-01T01:59:17Z,3,cs.CV,cs.CV,1414,2023-06,cs.CV
2306.00294,Affinity-based Attention in Self-supervised Transformers Predicts Dynamics of Object Grouping in Humans,2023-06-01T02:25:55Z,4,cs.CV,cs.CV; q-bio.NC,1037,2023-06,cs.CV
2306.00299,Robust Estimation of Surface Curvature Information from Point Cloud Data,2023-06-01T02:38:18Z,1,cs.CG,cs.CG; cs.CV; math.DG,1234,2023-06,cs.CV
2306.00303,"Sea Ice Extraction via Remote Sensed Imagery: Algorithms, Datasets, Applications and Challenges",2023-06-01T02:50:51Z,8,cs.CV,cs.CV; eess.IV,1016,2023-06,cs.CV
2306.00306,Low-Light Image Enhancement with Wavelet-based Diffusion Models,2023-06-01T03:08:28Z,5,cs.CV,cs.CV,1590,2023-06,cs.CV
